#procs.	run_1	run_2	run_3	run_4	run_5	run_6	run_7	run_8	run_9	run_10	run_11	run_12	run_13	run_14	run_15	run_16
1	6291.84	5936.55	6461.32	5980.70	6370.72	6415.72	6051.64	6057.43	6355.98	6538.40	6492.48	6020.83	6148.86	6002.07	6235.05	6239.74
2	3209.50	3259.16	3042.76	3141.50	3014.26	3065.51	3209.01	3062.55	3122.65	3007.54	3226.03	3283.33	3079.90	3074.24	2991.78	2976.60
4	1537.82	1504.11	1595.95	1610.38	1554.08	1527.02	1645.51	1502.19	1602.83	1566.88	1589.15	1616.47	1602.54	1618.91	1638.06	1627.61
8	803.46	820.77	774.49	766.68	813.74	776.57	776.81	776.90	772.95	767.14	819.55	751.24	807.49	802.09	821.45	755.23
16	383.10	391.74	375.89	386.73	386.96	410.87	406.50	411.04	389.22	381.76	375.90	414.01	380.19	409.85	408.04	406.97
32	190.31	191.41	196.79	200.74	199.50	199.36	203.83	194.43	194.52	198.81	195.39	194.22	196.97	202.12	194.23	205.49
64	96.73	101.85	101.13	100.17	103.79	101.84	96.19	103.14	98.04	103.13	100.65	98.03	98.75	100.37	101.08	101.76
128	52.88	51.72	51.61	50.65	48.52	51.79	49.10	48.94	51.42	51.37	49.85	49.31	49.11	50.35	53.01	51.78
256	26.31	25.66	26.04	25.77	25.85	27.18	25.14	27.11	25.77	24.96	25.81	25.48	27.11	27.06	25.05	26.15
512	13.57	12.91	12.94	14.10	13.00	14.08	13.64	12.95	13.07	14.21	13.87	13.98	14.13	13.01	13.79	13.40
1024	7.42	7.12	7.15	7.00	7.15	7.34	7.52	7.18	7.16	7.34	7.19	6.95	7.07	7.33	7.67	7.27
